anio,mes,banco,activos,pasivos,patrimonio,carterabruta,depositos,utilidad,calificacion
2020,1,PICHINCHA,11325.08,10053.3,1262,7773.65,8899.69,10,AAA
2020,1,PACIFICO,6153.74,5376.96,769,4261.7,4478.12,8,AAA
2020,1,GUAYAQUIL,5255.39,4707.67,539,3361.38,3799.3,9,AAA
2020,1,PRODUBANCO,5116.15,4652.47,459,3381.65,3956.72,5,AAA
2020,1,INTERNACIONAL,3741.52,3359.25,378,2370.58,2996.09,4,AAA
2020,1,BOLIVARIANO,3668.37,3323.42,341,2168.84,2876.18,4,AAA
2020,1,DINERS CLUB,2445.61,1999.07,441,2113.18,1359.23,6,AAA
2020,1,AUSTRO,1786.79,1594.91,191,1065.65,1515.29,1,AAA
2020,1,GENERAL RUMIÑAHUI,935.13,854.61,79,628.39,732.87,1,AAA
2020,1,SOLIDARIO,816.08,665.09,150,676.82,415.72,1,AA
2020,1,MACHALA,804.39,742.45,61,514.07,716.73,0,AA
2020,1,CITIBANK,642.56,557.01,84,289.02,517.96,1,AAA
2020,1,LOJA,517.1,456.8,60,329.16,429.62,1,AAA
2020,1,PROCREDIT,388.13,330.81,57,327.66,165.61,0,AAA
2020,1,AMAZONAS,220.72,197.81,23,125.75,183.1,0,AA
2020,1,COOPNACIONAL,183.83,154.04,30,86.94,149.82,0,AA
2020,1,CODESARROLLO,180.38,157.55,23,149.83,122.91,0,C
2020,1,D-MIRO,109.79,87.24,22,96.31,31.48,0,A
2020,1,FINCA,87.31,72.77,15,71.67,51.12,0,BBB
2020,1,VISIONFUND,85.09,67.85,17,78.02,9.12,0,AA
2020,1,COMERCIAL DE MANABI,53.16,40.56,13,31.8,39.47,0,BB
2020,1,LITORAL,40.81,29.18,12,32.26,27.71,0,A
2020,1,DELBANK,32.69,21.31,11,22.02,18.59,0,A
2020,1,CAPITAL,21.7,12.66,9,13.49,10.57,0,C
2020,2,PICHINCHA,11555.22,10278,1257,7888.95,9095.06,20,AAA
2020,2,PACIFICO,6389.39,5605.28,770,4275.74,4461.54,15,AAA
2020,2,GUAYAQUIL,5283.07,4763.98,503,3373.54,3877.52,17,AAA
2020,2,PRODUBANCO,5104.67,4643.39,453,3387.91,3943.96,8,AAA
2020,2,INTERNACIONAL,3751.57,3366.67,378,2355.19,3013.68,7,AAA
2020,2,BOLIVARIANO,3691.84,3356.48,329,2169.68,2913.33,6,AAA
2020,2,DINERS CLUB,2454.74,2002.78,441,2137.04,1346.33,11,AAA
2020,2,AUSTRO,1804.85,1611.94,191,1074.57,1533.55,2,AAA
2020,2,GENERAL RUMIÑAHUI,990.22,908.55,79,638.63,790.68,2,AAA
2020,2,SOLIDARIO,825.66,673.61,150,676.28,416.97,2,AA
2020,2,MACHALA,812.45,750.15,62,519.02,724.41,1,AA
2020,2,CITIBANK,710.86,626.58,81,280.12,587.7,3,AAA
2020,2,LOJA,516.78,455.9,60,332.98,426.72,1,AAA
2020,2,PROCREDIT,405.99,348.67,57,333.43,172.93,0,AAA
2020,2,AMAZONAS,220.75,198.03,23,123.91,183.74,0,AA
2020,2,COOPNACIONAL,183.67,153.76,30,95.4,149.42,0,AA
2020,2,CODESARROLLO,182.48,159.62,23,151.17,125.02,0,C
2020,2,D-MIRO,110.15,87.55,22,95.02,32.19,0,A
2020,2,FINCA,88.06,73.75,15,71.74,52.46,0,BBB
2020,2,VISIONFUND,84.22,66.9,17,79.2,9.26,0,AA
2020,2,COMERCIAL DE MANABI,55.21,42.61,13,31.85,41.39,0,BB
2020,2,LITORAL,40.29,28.63,12,31.98,27.11,0,A
2020,2,DELBANK,32.93,21.55,11,21.91,18.32,0,A
2020,2,CAPITAL,22.47,13.51,9,14.24,11.28,0,C
2020,3,PICHINCHA,11160.64,9898.4,1237,7887.51,8796.86,25,AAA
2020,3,PACIFICO,6254.28,5469.57,769,4253.79,4390.49,15,AAA
2020,3,GUAYAQUIL,5068.02,4563.73,503,3380.1,3729.65,2,AAA
2020,3,PRODUBANCO,5017.68,4591.93,415,3344.9,3903.61,11,AAA
2020,3,BOLIVARIANO,3640.44,3302.76,328,2174.79,2872.49,9,AAA
